,animal,day,session,cell,gridness,coherence,spatial info,field number,field radius,field spacing,exposure number
169,PL76,2019-12-10,1.2m s1,TT1_SS_05.txt,1.227443486,0.163447797,0.516574148,7,11.99199146,55,4
170,PL76,2019-12-10,1.2m s1,TT1_SS_06.txt,1.007762176,0.346024563,0.539764204,6,10.87986622,52.5,4
171,PL76,2019-12-10,1.2m s1,TT2_SS_01.txt,1.609414196,0.582201756,1.043257212,6,10.38080726,53.75,4
172,PL76,2019-12-10,1.2m s1,TT2_SS_02.txt,1.570997164,0.58615578,0.973474713,3,9.031439992,53.75,4
173,PL76,2019-12-10,1.2m s1,TT3_SS_07.txt,1.317743095,0.217603766,0.617520926,6,10.25224741,56.25,4
174,PL76,2019-12-10,1.2m s1,TT3_SS_09.txt,1.733759046,0.602440939,0.844753952,6,10.34881702,53.75,4
175,PL76,2019-12-10,1.2m s1,TT3_SS_11.txt,1.086229514,0.505070593,0.731354338,4,11.8008718,55,4
176,PL76,2019-12-10,1.2m s1,TT3_SS_14.txt,1.257532459,0.240622928,0.390101302,5,9.993484217,51.25,4
177,PL76,2019-12-11,1.2m s1,TT1_SS_03.txt,1.698830111,0.623171148,0.922627113,5,10.21011693,52.5,5
178,PL76,2019-12-11,1.2m s1,TT1_SS_04.txt,1.567502857,0.577155042,1.041162689,5,9.628486608,52.5,5
179,PL76,2019-12-11,1.2m s1,TT1_SS_07.txt,1.663316314,0.486991855,0.767289443,3,11.63106623,56.25,5
180,PL76,2019-12-11,1.2m s1,TT2_SS_05.txt,1.522496862,0.404560103,0.859906253,3,9.772050238,57.5,5
181,PL76,2019-12-11,1.2m s1,TT3_SS_10.txt,1.313016215,0.414857922,0.575286778,5,12.18244575,58.75,5
182,PL76,2019-12-11,1.2m s1,TT3_SS_12.txt,1.434368637,0.542831647,1.480914927,4,8.25458721,53.75,5
183,PL76,2019-12-11,1.2m s1,TT3_SS_14.txt,1.484249342,0.459927687,0.493942756,5,11.26614695,55,5
184,PL76,2019-12-13,1.2m s1,TT1_SS_01.txt,1.193414335,0.546622754,0.726128671,5,10.85240332,55,6
185,PL76,2019-12-13,1.2m s1,TT1_SS_02.txt,1.499770516,0.593456645,1.19382009,3,10.30064539,57.5,6
186,PL76,2019-12-13,1.2m s1,TT1_SS_03.txt,1.523331094,0.452749346,0.628193864,6,12.57617687,53.75,6
187,PL76,2019-12-13,1.2m s1,TT2_SS_03.txt,1.465186831,0.683920504,1.518020307,2,11.8008718,55,6
188,PL76,2019-12-19,1.2m s1,TT3_SS_02.txt,1.376964004,0.538163613,0.479477285,5,12.42498671,51.25,7
189,PL76,2019-12-4,1.2m s1,TT3_SS_05.txt,1.284618593,0.622697095,0.839572693,6,9.583614406,57.5,1
190,PL76,2019-12-4,1.2m s1,TT4_SS_03.txt,1.438685117,0.451880452,0.572683873,6,11.38617425,52.5,1
191,PL76,2019-12-5,1.2m s1,TT4_SS_01.txt,0.951193018,0.522191527,0.765037979,4,10.24415885,53.75,2
192,PL76,2019-12-5,1.2m s1,TT4_SS_05.txt,0.655192981,0.562228797,1.257683679,6,10.15475949,56.25,2
193,PL76,2019-12-6,1.2m s1,TT3_SS_08.txt,1.198898192,0.290163943,0.387269245,5,12.37685876,57.5,3
194,PL76,2019-12-6,1.2m s1,TT4_SS_04.txt,1.39780028,0.584854041,0.740313623,5,10.9436783,53.75,3
195,PL76,2020-1-13,1.2m s1,TT2_SS_01.txt,1.151047904,0.563867031,0.275755499,1,9.140915989,55,11
196,PL76,2020-1-13,1.2m s1,TT2_SS_02.txt,1.464488086,0.595672017,1.018606963,4,11.9057705,57.5,11
197,PL76,2020-1-13,1.2m s1,TT2_SS_03.txt,1.07814347,0.339981323,0.444932196,7,10.80779163,56.25,11
198,PL76,2020-1-13,1.2m s1,TT2_SS_04.txt,1.575205767,0.599645343,0.88143936,4,11.01615378,56.25,11
199,PL87,2021-2-19,1.2m s1,TT2_SS_02.txt,1.685655418,0.722435635,0.722451819,6,9.940256226,45,1
200,PL87,2021-2-19,1.2m s1,TT2_SS_03.txt,1.5319355,0.596458556,0.640813547,6,9.496725809,45,1
201,SSW103,2016-3-11,1.2m s1,TT4_SS_03.txt,1.297146933,0.287485471,1.098263824,3,14.33789158,80,1
202,SSW103,2016-3-11,1.2m s1,TT4_SS_04.txt,1.293192217,0.719904206,1.70958929,2,13.00392737,81.25,1
203,SSW103,2016-3-11,1.2m s1,TT4_SS_05.txt,1.349398172,0.497284801,0.912598788,3,13.33127975,78.75,1
204,SSW103,2016-3-13,1.2m s1,TT4_SS_02.txt,1.563415899,0.658125541,0.940425115,3,14.45305721,81.25,2
205,SSW103,2016-3-13,1.2m s1,TT4_SS_03.txt,0.619685465,0.620331794,0.71983831,3,8.845969724,81.25,2
206,SSW103,2016-3-13,1.2m s1,TT4_SS_04.txt,1.191727339,0.675531591,0.946522576,3,12.32316281,82.5,2
207,SSW103,2016-3-16,1.2m s1,TT4_SS_01.txt,1.512025218,0.672201209,1.814810247,2,12.61566261,76.25,3
208,SSW103,2016-3-25,1.2m s1,TT2_SS_01.txt,1.378791546,0.339612241,1.300829676,3,12.69426563,77.5,4
209,SSW103,2016-3-30,1.2m s1,TT2_SS_01.txt,0.497513343,0.505173566,0.81292961,2,11.84294278,75,5
210,SSW103,2016-4-8,1.2m s1,TT2_SS_03.txt,1.10584517,0.298754241,0.544081232,3,17.15915629,95,6
211,SSW108,2016-3-12,1.2m s1,TT4_SS_01.txt,0.670148823,0.741282875,1.234916154,4,11.39345209,52.5,1
