,animal,day,session,cell,gridness,coherence,spatial info,field number,field radius,field spacing,exposure number
89,PL73,2019-10-28,1m passive raised s5,TT3_SS_01.txt,-0.459001817,0.087328426,0.66507926,3,12.66341221,34.71486003,2
90,PL73,2019-10-28,1m passive raised s5,TT3_SS_03.txt,-0.557663952,0.164835416,0.846934247,5,8.576390564,53.58023411,2
91,PL76,2019-12-11,1m passive raised s5,TT3_SS_08.txt,-0.234985561,0.248819063,0.19940839,3,18.67191827,65.68204722,5
92,PL76,2019-12-11,1m passive raised s5,TT3_SS_13.txt,-0.168233301,0.249995883,0.249619071,3,17.48254351,50.19149737,5
93,PL76,2019-12-13,1m passive raised s5,TT3_SS_02.txt,-0.027944268,0.347775005,0.221009717,1,41.44253886,,6
94,PL76,2019-12-13,1m passive raised s5,TT3_SS_04.txt,0.568125901,0.519506513,0.521773343,3,13.56438382,52.26697372,6
95,PL76,2019-12-4,1m passive raised s5,TT3_SS_01.txt,-0.41373723,0.230113995,0.198545755,1,40.30793001,,1
96,PL76,2019-12-4,1m passive raised s5,TT3_SS_02.txt,-0.414081929,0.155062628,0.433896047,2,15.08975578,80.90634782,1
97,PL76,2019-12-5,1m passive raised s5,TT1_SS_01.txt,-1.118802031,0.524815677,0.819528445,2,14.58420763,68.93723258,2
98,PL76,2019-12-6,1m passive raised s5,TT4_SS_02.txt,-0.198819754,0.545803641,0.546846124,2,9.186063354,50.85304184,3
99,PL87,2021-2-19,1m passive raised s5,TT2_SS_04.txt,0.002603146,0.313294729,0.266348681,1,40.06036345,,1
100,AM8,2021-4-13,1m floor s6,TT1_SS_07.txt,0.281722133,0.206120624,0.517702684,3,11.91719373,49.66035486,3
101,AM8,2021-4-13,1m floor s6,TT4_SS_08.txt,0.08493581,0.380221727,0.628479195,2,11.62799863,58.93893394,3
102,AM8,2021-4-13,1m floor s6,TT4_SS_09.txt,-0.224708603,0.234837315,0.342143599,2,14.42794434,28.8673442,3
103,AM8,2021-4-6,1m floor s6,TT1_SS_02.txt,-0.254691695,0.417434155,0.3919561,5,11.43397415,45.61349162,1
104,AM8,2021-4-6,1m floor s6,TT1_SS_03.txt,0.176074093,0.360581585,0.794954743,2,12.31855795,58.51691381,1
105,AM8,2021-4-6,1m floor s6,TT1_SS_08.txt,-0.193463703,0.2627245,0.219000688,3,21.16854294,56.77228384,1
106,AM8,2021-4-6,1m floor s6,TT2_SS_01.txt,0.20641575,0.239058949,0.253144037,4,11.71135452,52.49742811,1
107,AM8,2021-4-9,1m floor s6,TT1_SS_01.txt,0.287672425,0.256134707,0.352171287,5,11.33142523,50.00079985,2
108,AM8,2021-4-9,1m floor s6,TT1_SS_07.txt,0.296450704,0.471649817,0.50390637,4,9.838051962,41.37297453,2
109,AM8,2021-4-9,1m floor s6,TT1_SS_12.txt,0.190929788,0.307789626,0.278068073,4,14.17286335,51.34589895,2
110,PL73,2019-10-21,1m floor s6,TT1_SS_02.txt,0.522070631,0.385322296,0.546969621,1,12.39727158,,1
111,PL73,2019-10-21,1m floor s6,TT1_SS_06.txt,-0.38346838,0.211383696,0.359363952,1,34.92579817,,1
112,PL73,2019-10-21,1m floor s6,TT1_SS_07.txt,-0.534603117,0.32455628,0.640709551,1,14.6951512,,1
113,PL73,2019-10-21,1m floor s6,TT1_SS_09.txt,-0.26564803,0.150420236,0.291036915,3,10.34412867,33.13850644,1
114,PL73,2019-10-28,1m floor s6,TT3_SS_01.txt,-0.049749782,0.262273585,0.534463681,3,10.46876123,57.24395656,2
115,PL73,2019-10-28,1m floor s6,TT3_SS_03.txt,-0.314798658,0.201336045,0.338232175,2,16.62098439,62.84709454,2
116,PL76,2019-12-11,1m floor s6,TT3_SS_08.txt,-0.280484107,0.141393556,0.344683167,2,19.07363084,50.73057596,5
117,PL76,2019-12-11,1m floor s6,TT3_SS_13.txt,-0.527033106,0.233436638,0.287645645,2,23.339502,44.5934055,5
118,PL76,2019-12-13,1m floor s6,TT3_SS_02.txt,-0.398237176,0.42903206,0.26355123,3,17.23394415,39.49144431,6
119,PL76,2019-12-13,1m floor s6,TT3_SS_04.txt,0.942054859,0.584900663,0.690123539,3,13.54706329,62.86908446,6
120,PL76,2019-12-4,1m floor s6,TT3_SS_01.txt,-0.666215083,0.450436409,0.441134009,1,27.75620986,,1
121,PL76,2019-12-4,1m floor s6,TT3_SS_02.txt,-0.628131789,0.234710783,0.37816569,1,30.01256164,,1
122,PL76,2019-12-5,1m floor s6,TT1_SS_01.txt,1.253113656,0.644989611,0.757356278,2,12.70725121,55.721336,2
123,PL76,2019-12-6,1m floor s6,TT4_SS_02.txt,-0.173434504,0.402361507,0.713395664,1,9.663471902,,3
124,PL87,2021-2-19,1m floor s6,TT2_SS_04.txt,-0.255242326,0.573577147,0.510328243,1,33.70691401,,1
